"","ID","time","lon","lat","tagtype","sex","age","height_above_wgs84","fix"
"1","AL-2020-04","2020-02-04 14:00:32",-87.1527557,32.0798073,"4g - Night","m","After Second Year",65,"3D"
"2","AL-2020-04","2020-02-04 19:58:56",-87.1527023,32.0798073,"4g - Night","m","After Second Year",61,"3D"
"3","AL-2020-04","2020-02-05 05:00:48",-87.1550064,32.0839539,"4g - Night","m","After Second Year",56,"3D"
"4","AL-2020-04","2020-02-07 05:00:48",-87.1547241,32.0838013,"4g - Night","m","After Second Year",53,"3D"
"5","AL-2020-04","2020-02-09 05:00:48",-87.1593094,32.0868225,"4g - Night","m","After Second Year",51,"3D"
"6","AL-2020-04","2020-02-13 05:00:48",-87.1578522,32.0883827,"4g - Night","m","After Second Year",68,"3D"
"7","AL-2020-04","2020-02-15 05:00:48",-87.1595917,32.0862846,"4g - Night","m","After Second Year",54,"3D"
"8","AL-2020-04","2020-02-17 05:00:48",-87.1590042,32.0870781,"4g - Night","m","After Second Year",55,"3D"
"9","AL-2020-04","2020-02-19 05:00:48",-87.1588211,32.08741,"4g - Night","m","After Second Year",62,"3D"
"10","AL-2020-04","2020-02-21 05:00:48",-87.1564178,32.0409203,"4g - Night","m","After Second Year",65,"3D"
"11","AL-2020-04","2020-02-23 05:00:48",-87.1589737,32.0872841,"4g - Night","m","After Second Year",21,"3D"
"12","AL-2020-04","2020-02-25 05:00:48",-87.1588211,32.08741,"4g - Night","m","After Second Year",42,"3D"
"13","AL-2020-04","2020-02-27 05:00:48",-87.1588516,32.08741,"4g - Night","m","After Second Year",53,"3D"
"14","AL-2020-04","2020-02-29 05:00:48",-87.1590805,32.0872307,"4g - Night","m","After Second Year",54,"3D"
"15","AL-2020-04","2020-03-02 05:00:48",-84.4078445,38.3455353,"4g - Night","m","After Second Year",249,"3D"
"16","AL-2020-04","2020-03-04 05:00:48",-84.4094315,38.3490944,"4g - Night","m","After Second Year",255,"3D"
"17","AL-2020-04","2020-03-08 04:01:04",-84.9207687,42.9927826,"4g - Night","m","After Second Year",197,"3D"
"18","AL-2020-04","2020-03-10 04:01:04",-84.9204636,42.9919357,"4g - Night","m","After Second Year",198,"3D"
"19","AL-2020-04","2020-03-12 04:01:04",-84.9181061,42.9942398,"4g - Night","m","After Second Year",212,"3D"
"20","AL-2020-04","2020-03-14 04:01:04",-84.9204636,42.9918327,"4g - Night","m","After Second Year",209,"3D"
"21","AL-2020-04","2020-03-15 03:58:56",-84.9204102,42.9918098,"4g - Night","m","After Second Year",143,"3D"
"22","AL-2020-04","2020-03-16 04:01:04",-84.9203568,42.9917831,"4g - Night","m","After Second Year",194,"3D"
"23","AL-2020-04","2020-03-17 03:58:56",-84.9204102,42.9918327,"4g - Night","m","After Second Year",202,"3D"
"24","AL-2020-04","2020-03-18 04:01:04",-84.9207153,42.9920387,"4g - Night","m","After Second Year",34,"3D"
"25","AL-2020-04","2020-03-19 03:58:56",-84.920433,42.991909,"4g - Night","m","After Second Year",206,"3D"
"26","AL-2020-04","2020-03-20 04:01:04",-84.9197159,43.0526085,"4g - Night","m","After Second Year",243,"3D"
"27","AL-2020-04","2020-03-22 04:01:04",-84.9204102,42.9917564,"4g - Night","m","After Second Year",194,"3D"
"28","AL-2020-04","2020-03-23 03:58:56",-84.9204102,42.9918327,"4g - Night","m","After Second Year",195,"3D"
"29","AL-2020-04","2020-03-24 04:01:04",-84.9204636,42.9916801,"4g - Night","m","After Second Year",233,"3D"
