ID,time,lon,lat,sex,age,height_above_wgs84,height_above_terrain,migratory_state,moving,day_night,known_ground_location,possible_flight_location
AL-2020-04,2020-02-04 14:00:32,-87.1527557,32.0798073,m,After Second Year,65,3.0101999999999975,Point state: Stationary,FALSE,Day,TRUE,FALSE
AL-2020-04,2020-02-04 19:58:56,-87.1527023,32.0798073,m,After Second Year,61,-0.7038999999999973,Point state: Stationary,FALSE,Day,TRUE,FALSE
AL-2020-04,2020-02-05 05:00:48,-87.1550064,32.0839539,m,After Second Year,56,3.1088999999999984,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-02-07 05:00:48,-87.1547241,32.0838013,m,After Second Year,53,-0.3586999999999989,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-02-09 05:00:48,-87.1593094,32.0868225,m,After Second Year,51,-3.4084999999999965,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-02-13 05:00:48,-87.1578522,32.0883827,m,After Second Year,68,12.629399999999997,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-02-15 05:00:48,-87.159591699999993,32.0862846,m,After Second Year,54,0.04930000000000234,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-02-17 05:00:48,-87.1590042,32.0870781,m,After Second Year,55,0.8581999999999965,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-02-19 05:00:48,-87.1588211,32.08741,m,After Second Year,62,7.7956999999999965,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-02-21 05:00:48,-87.1564178,32.0409203,m,After Second Year,65,-1.370599999999996,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-02-23 05:00:48,-87.1589737,32.0872841,m,After Second Year,21,-33.2137,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-02-25 05:00:48,-87.1588211,32.08741,m,After Second Year,42,-12.204300000000003,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-02-27 05:00:48,-87.1588516,32.08741,m,After Second Year,53,-1.2242999999999995,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-02-29 05:00:48,-87.1590805,32.0872307,m,After Second Year,54,-0.22270000000000323,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-02 05:00:48,-84.4078445,38.3455353,m,After Second Year,249,-6.496000000000009,Point state: Migratory (spring),FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-04 05:00:48,-84.4094315,38.3490944,m,After Second Year,255,-3.2649999999999864,Point state: Migratory (spring),FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-08 04:01:04,-84.9207687,42.9927826,m,After Second Year,197,-0.39799999999999613,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-10 04:01:04,-84.9204636,42.9919357,m,After Second Year,198,0.02600000000001046,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-12 04:01:04,-84.9181061,42.9942398,m,After Second Year,212,13.489000000000004,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-14 04:01:04,-84.9204636,42.9918327,m,After Second Year,209,10.836000000000013,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-15 03:58:56,-84.9204102,42.9918098,m,After Second Year,143,-55.403999999999996,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-16 04:01:04,-84.9203568,42.9917831,m,After Second Year,194,-4.522999999999996,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-17 03:58:56,-84.9204102,42.9918327,m,After Second Year,202,3.695999999999998,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-18 04:01:04,-84.9207153,42.9920387,m,After Second Year,34,-163.92,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-19 03:58:56,-84.920433,42.991909,m,After Second Year,206,7.921999999999997,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-20 04:01:04,-84.9197159,43.0526085,m,After Second Year,243,-0.36099999999999,Point state: Stationary,TRUE,Night,FALSE,FALSE
AL-2020-04,2020-03-22 04:01:04,-84.9204102,42.9917564,m,After Second Year,194,-4.527999999999992,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-23 03:58:56,-84.9204102,42.9918327,m,After Second Year,195,-3.304000000000002,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-24 04:01:04,-84.9204636,42.9916801,m,After Second Year,233,34.391999999999996,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-26 04:01:04,-84.9203873,42.9920387,m,After Second Year,170,-27.929000000000002,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-27 03:58:56,-84.920433,42.9918861,m,After Second Year,197,-1.117999999999995,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-28 04:01:04,-84.9204102,42.991909,m,After Second Year,196,-2.157999999999987,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-29 03:58:56,-84.9205093,42.9920387,m,After Second Year,184,-13.706999999999994,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-30 04:01:04,-84.9204102,42.991909,m,After Second Year,187,-11.157999999999987,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-03-31 03:58:56,-84.9205093,42.991909,m,After Second Year,205,7.044000000000011,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-01 04:01:04,-84.9202805,42.9918327,m,After Second Year,155,-43.41,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-02 03:58:56,-84.9204636,42.9919624,m,After Second Year,184,-13.913999999999987,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-03 04:01:04,-84.9204636,42.9919357,m,After Second Year,198,0.02600000000001046,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-04 03:58:56,-84.9207153,42.9920387,m,After Second Year,187,-10.919999999999987,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-05 04:01:04,-84.9204102,42.9918861,m,After Second Year,200,1.8019999999999925,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-06 03:58:56,-84.9207153,42.9919624,m,After Second Year,196,-1.9960000000000093,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-07 04:01:04,-84.9207687,42.9919624,m,After Second Year,204,6.484000000000009,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-08 03:58:56,-84.920433,42.9919357,m,After Second Year,201,2.98599999999999,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-09 04:01:04,-84.9206924,42.9919624,m,After Second Year,191,-6.943999999999988,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-10 03:58:56,-84.9204102,42.9918861,m,After Second Year,204,5.8019999999999925,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-11 04:01:04,-84.920433,42.9918594,m,After Second Year,201,2.8019999999999925,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-12 03:58:56,-84.9206619,42.9915504,m,After Second Year,185,-13.86099999999999,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-13 04:01:04,-84.9203873,42.991909,m,After Second Year,212,13.78200000000001,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-14 03:58:56,-84.9204102,42.9918098,m,After Second Year,203,4.596000000000004,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-15 04:01:04,-84.9204102,42.9918861,m,After Second Year,205,6.8019999999999925,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-17 04:01:04,-84.9204102,42.9917831,m,After Second Year,203,4.616000000000014,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-19 04:01:04,-84.9204636,42.991909,m,After Second Year,214,15.942000000000007,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-21 04:01:04,-84.9203339,42.9918594,m,After Second Year,200,1.622000000000014,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-23 04:01:04,-84.9204636,42.9920654,m,After Second Year,220,22.295999999999992,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-25 04:01:04,-84.9203568,42.9917564,m,After Second Year,196,-2.5320000000000107,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-27 04:01:04,-84.9203568,42.9918327,m,After Second Year,205,6.61699999999999,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-04-29 04:01:04,-84.9157028,42.9724045,m,After Second Year,208,-1.531000000000006,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-05-02 03:58:56,-84.9203873,42.9918861,m,After Second Year,202,3.8019999999999925,Point state: Stationary,FALSE,Night,FALSE,FALSE
AL-2020-04,2020-05-05 19:01:20,-84.9197159,42.9937019,m,After Second Year,202,4.4010000000000105,Point state: Stationary,FALSE,Day,TRUE,FALSE
