"","ID","time","lon","lat","event_id","tagtype","sex","age","height_above_wgs84","fix","point_state","designated_before","moving","on_land","geometry"
"1","LA-2023-23","2023-04-12 19:01:20",-68.3929977,49.1175804,26533471762,"4g - hybrid","m","After hatch year",11,"3D","Point state: Migratory (spring)",TRUE,TRUE,FALSE,c(-68.3929977, 49.1175804)
"2","MD-2019-01","2019-04-16 13:00:48",-66.100853,45.2848244,9737935223,"6.3g - Frequent","f","Second Year",NA,"3D","Point state: Migratory (spring)",FALSE,TRUE,FALSE,c(-66.100853, 45.2848244)
"3","MD-2020-11","2020-03-27 13:00:48",-67.6863861,44.5394287,14243374224,"4g - Hybrid","m","After Second Year",NA,"2D","Point state: Migratory (spring)",FALSE,TRUE,FALSE,c(-67.6863861, 44.5394287)
"4","ME-2018-07","2018-11-18 14:02:40",-72.0052643,41.3240204,7994489561,"4g - Frequent","m","Hatch Year",NA,"2D","Point state: Migratory (fall)",FALSE,FALSE,FALSE,c(-72.0052643, 41.3240204)
"5","ME-2020-14","2020-11-28 04:58:40",-76.2000275,39.0354805,17015282893,"4g - Night","m","Hatch Year",96,"3D","Point state: Migratory (fall)",TRUE,TRUE,FALSE,c(-76.2000275, 39.0354805)
"6","ME-2020-14","2020-12-03 05:00:48",-80.3549347,32.3735924,17116905067,"4g - Night","m","Hatch Year",183,"3D","Point state: Migratory (fall)",TRUE,TRUE,FALSE,c(-80.3549347, 32.3735924)
"7","NC-2019-02","2019-03-13 13:00:48",-77.2700272,38.4790154,9399407892,"4g - Hybrid","m","Second Year",NA,"3D","Point state: Migratory (spring)",FALSE,FALSE,FALSE,c(-77.2700272, 38.4790154)
"8","NC-2020-07","2020-03-09 13:00:48",-75.0711441,38.6104965,14514929483,"4g - Hybrid","m","Second Year",NA,"3D","Point state: Migratory (spring)",FALSE,FALSE,FALSE,c(-75.0711441, 38.6104965)
"9","NC-2020-07","2020-03-10 19:01:20",-75.0710144,38.6105728,14106117090,"4g - Hybrid","m","Second Year",NA,"3D","Point state: Migratory (spring)",FALSE,FALSE,FALSE,c(-75.0710144, 38.6105728)
"10","NC-2020-07","2020-03-11 13:00:48",-75.0710144,38.6105461,14106117091,"4g - Hybrid","m","Second Year",NA,"3D","Point state: Migratory (spring)",FALSE,FALSE,FALSE,c(-75.0710144, 38.6105461)
"11","NC-2020-07","2020-03-12 19:01:20",-75.0767975,38.6115723,14106117092,"4g - Hybrid","m","Second Year",NA,"3D","Point state: Migratory (spring)",FALSE,FALSE,FALSE,c(-75.0767975, 38.6115723)
"12","NC-2020-18","2020-03-28 04:01:04",-69.9032669,42.8882828,14243374306,"6.3g - Night","f","Second Year",33,"2D","Point state: Migratory (spring)",FALSE,TRUE,FALSE,c(-69.9032669, 42.8882828)
"13","NC-2021-21","2021-03-31 04:01:04",-61.8178673,47.4205055,18311652259,"5g- hybrid","f","Second Year",54,"3D","Point state: Migratory (spring)",TRUE,TRUE,FALSE,c(-61.8178673, 47.4205055)
"14","NC-2022-34","2022-02-17 18:59:12",-75.995018,36.5287056,21335177758,"?g- lazarus","f","After Second Year",-34,"3D","Point state: Winter",TRUE,FALSE,FALSE,c(-75.995018, 36.5287056)
"15","NC-2022-34","2022-03-09 18:59:12",-75.9947662,36.5286522,21551806729,"?g- lazarus","f","After Second Year",8,"3D","Point state: Winter",TRUE,FALSE,FALSE,c(-75.9947662, 36.5286522)
"16","NC-2022-34","2022-05-04 18:59:12",-64.7280273,46.0789108,22034920070,"?g- lazarus","f","After Second Year",0,"2D","Point state: Summer",FALSE,FALSE,FALSE,c(-64.7280273, 46.0789108)
"17","NC-2022-44","2022-04-08 15:00:16",-66.9051743,44.6189194,21787139386,"?g- lazarus","m","Second Year",72,"3D","Point state: Migratory (spring)",TRUE,TRUE,FALSE,c(-66.9051743, 44.6189194)
"18","NJ-2018-02","2019-04-08 18:59:12",-74.5211029,45.0976372,9665828407,"4g - Infrequent","m","Hatch Year",NA,"3D","Point state: Migratory (spring)",FALSE,FALSE,FALSE,c(-74.5211029, 45.0976372)
"19","NJ-2018-02","2019-04-10 13:00:48",-74.521637,45.0976639,9665828408,"4g - Infrequent","m","Hatch Year",NA,"3D","Point state: Migratory (spring)",FALSE,FALSE,FALSE,c(-74.521637, 45.0976639)
"20","NJ-2018-02","2019-04-12 18:59:12",-74.5209961,45.0978432,9665828409,"4g - Infrequent","m","Hatch Year",NA,"3D","Point state: Migratory (spring)",FALSE,FALSE,FALSE,c(-74.5209961, 45.0978432)
"21","NJ-2018-04","2019-03-15 18:59:12",-76.4962158,39.2078476,9497039547,"4g - Infrequent","m","Hatch Year",NA,"3D","Point state: Migratory (spring)",FALSE,TRUE,FALSE,c(-76.4962158, 39.2078476)
"22","NJ-2018-07","2019-01-09 03:01:20",-76.0028763,37.2288399,8807074666,"4g - Infrequent","m","Hatch Year",NA,"3D","Point state: Migratory (fall)",FALSE,FALSE,FALSE,c(-76.0028763, 37.2288399)
"23","NJ-2018-07","2019-01-12 14:00:32",-76.0161667,37.2522354,8679168362,"4g - Infrequent","m","Hatch Year",NA,"3D","Point state: Migratory (fall)",FALSE,FALSE,FALSE,c(-76.0161667, 37.2522354)
"24","NJ-2018-07","2019-01-28 14:00:32",-76.0170593,37.2525711,9090394059,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170593, 37.2525711)
"25","NJ-2018-07","2019-02-12 13:58:24",-76.0170364,37.2525177,9178791124,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170364, 37.2525177)
"26","NJ-2018-07","2019-02-15 19:58:56",-76.0170364,37.2525711,9178791125,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170364, 37.2525711)
"27","NJ-2018-07","2019-02-17 14:00:32",-76.0170593,37.2525711,9319308732,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170593, 37.2525711)
"28","NJ-2018-07","2019-02-19 19:58:56",-76.0170364,37.2525444,9178791126,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170364, 37.2525444)
"29","NJ-2018-07","2019-02-21 14:00:32",-76.0168839,37.2525444,9178791127,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0168839, 37.2525444)
"30","NJ-2018-07","2019-02-23 19:58:56",-76.0171127,37.252594,9178791128,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0171127, 37.252594)
"31","NJ-2018-07","2019-02-25 14:00:32",-76.0170593,37.2525711,13651600130,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170593, 37.2525711)
"32","NJ-2018-07","2019-02-27 19:58:56",-76.0171127,37.2525711,13651600131,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0171127, 37.2525711)
"33","NJ-2018-07","2019-03-01 14:00:32",-76.0170593,37.2525711,13651600132,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170593, 37.2525711)
"34","NJ-2018-07","2019-03-03 19:58:56",-76.0170593,37.2525444,9497039556,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170593, 37.2525444)
"35","NJ-2018-07","2019-03-07 19:58:56",-76.0170593,37.252594,9497039557,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170593, 37.252594)
"36","NJ-2018-07","2019-03-21 13:00:48",-76.0170593,37.2525711,9575509346,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170593, 37.2525711)
"37","NJ-2018-07","2019-03-23 18:59:12",-76.0170364,37.2525444,9575509347,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170364, 37.2525444)
"38","NJ-2018-07","2019-03-25 13:00:48",-76.0170898,37.2525711,9575509348,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170898, 37.2525711)
"39","NJ-2018-07","2019-03-27 18:59:12",-76.0170364,37.2525444,9575509349,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170364, 37.2525444)
"40","NJ-2018-07","2019-03-29 13:00:48",-76.0170898,37.252594,9575509350,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170898, 37.252594)
"41","NJ-2018-07","2019-03-31 18:59:12",-76.016983,37.252491,9575509351,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.016983, 37.252491)
"42","NJ-2018-07","2019-04-14 13:00:48",-76.0170364,37.2525444,9737935214,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170364, 37.2525444)
"43","NJ-2018-07","2019-04-16 18:59:12",-76.0170898,37.252594,9737935215,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170898, 37.252594)
"44","NJ-2018-07","2019-04-18 13:00:48",-76.0170593,37.2525177,9737935216,"4g - Infrequent","m","Hatch Year",NA,"3D","",FALSE,FALSE,FALSE,c(-76.0170593, 37.2525177)
"45","NJ-2018-09","2019-03-17 18:59:12",-70.0764313,41.9582863,9455636763,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Migratory (spring)",FALSE,FALSE,FALSE,c(-70.0764313, 41.9582863)
"46","NJ-2018-09","2019-03-18 13:02:56",-70.0761719,41.9581833,9455636764,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Migratory (spring)",FALSE,FALSE,FALSE,c(-70.0761719, 41.9581833)
"47","NJ-2018-09","2019-04-02 18:59:12",-69.9578781,41.8388367,9612257032,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9578781, 41.8388367)
"48","NJ-2018-09","2019-04-05 12:58:40",-69.9578018,41.8388367,9630463957,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9578018, 41.8388367)
"49","NJ-2018-09","2019-04-06 18:59:12",-69.9575958,41.8389893,9630463958,"6.3g - Frequent","f","Hatch Year",NA,"2D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9575958, 41.8389893)
"50","NJ-2018-09","2019-04-07 12:58:40",-69.9577713,41.8392181,9630463959,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9577713, 41.8392181)
"51","NJ-2018-09","2019-04-08 18:59:12",-69.9577484,41.8387833,9650184527,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9577484, 41.8387833)
"52","NJ-2018-09","2019-04-09 12:58:40",-69.957695,41.8387566,9650184528,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.957695, 41.8387566)
"53","NJ-2018-09","2019-04-10 18:59:12",-69.957489,41.8391418,9650184529,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.957489, 41.8391418)
"54","NJ-2018-09","2019-04-11 13:02:56",-69.9576187,41.83881,13651696180,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9576187, 41.83881)
"55","NJ-2018-09","2019-04-12 18:59:12",-69.957489,41.8392448,13651696181,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.957489, 41.8392448)
"56","NJ-2018-09","2019-04-13 12:58:40",-69.957489,41.8389359,13651696182,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.957489, 41.8389359)
"57","NJ-2018-09","2019-04-14 18:59:12",-69.957695,41.8388863,9704335230,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.957695, 41.8388863)
"58","NJ-2018-09","2019-04-15 12:58:40",-69.957489,41.8389893,9704335231,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.957489, 41.8389893)
"59","NJ-2018-09","2019-04-16 18:59:12",-69.9575195,41.8389626,9704335232,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9575195, 41.8389626)
"60","NJ-2018-09","2019-04-17 13:02:56",-69.9577179,41.8389359,9775062402,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9577179, 41.8389359)
"61","NJ-2018-09","2019-04-18 18:59:12",-69.9577179,41.8389893,9775062403,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9577179, 41.8389893)
"62","NJ-2018-09","2019-04-19 12:58:40",-69.9572601,41.8388596,9775062404,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9572601, 41.8388596)
"63","NJ-2018-09","2019-04-20 18:59:12",-69.9570313,41.838913,9890381144,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9570313, 41.838913)
"64","NJ-2018-09","2019-04-22 18:59:12",-69.9575424,41.8390656,9890381145,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9575424, 41.8390656)
"65","NJ-2018-09","2019-04-23 13:02:56",-69.9575195,41.838913,9890381146,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9575195, 41.838913)
"66","NJ-2018-09","2019-04-24 18:59:12",-69.9571075,41.8388596,9890381147,"6.3g - Frequent","f","Hatch Year",NA,"2D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9571075, 41.8388596)
"67","NJ-2018-09","2019-04-25 12:58:40",-69.9574661,41.8389626,9890381148,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9574661, 41.8389626)
"68","NJ-2018-09","2019-04-27 12:58:40",-69.9576416,41.8391151,9890381149,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9576416, 41.8391151)
"69","NJ-2018-09","2019-04-30 18:59:12",-69.9576187,41.8389626,10058480327,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9576187, 41.8389626)
"70","NJ-2018-09","2019-05-02 13:00:48",-69.957695,41.8389893,10058480328,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.957695, 41.8389893)
"71","NJ-2018-09","2019-05-06 13:00:48",-69.9667587,41.8339462,10124583310,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9667587, 41.8339462)
"72","NJ-2018-09","2019-05-18 13:00:48",-69.9739532,41.8191757,10372125747,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9739532, 41.8191757)
"73","NJ-2018-09","2019-05-20 18:59:12",-69.966629,41.8341522,10372125748,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.966629, 41.8341522)
"74","NJ-2018-09","2019-05-22 13:00:48",-69.9718781,41.8171272,10372125749,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.9718781, 41.8171272)
"75","NJ-2018-09","2019-05-24 18:59:12",-69.973877,41.8187904,10372125750,"6.3g - Frequent","f","Hatch Year",NA,"3D","Point state: Summer",FALSE,FALSE,FALSE,c(-69.973877, 41.8187904)
