Field1,Latitude,Longitude,Altitude,POINT_X,POINT_Y,POINT_Z,t_hae_m_1
1,44.896131099999998,-68.667288299999996,137.889999999999986,-68.667288394999957,44.896121847000074,137.889999999999418,35.8120461
2,44.896107299999997,-68.667457700000000,148.150000000000006,-68.667457794999962,44.896098047000066,148.149999999994179,36.1493454
3,44.896291300000001,-68.667379999999994,166.340000000000003,-68.667380094999942,44.896282047000057,166.339999999996508,35.7602310
4,44.896274400000003,-68.667240000000007,155.740000000000009,-68.667240094999954,44.896265147000065,155.740000000005239,35.4347496
5,44.896324499999999,-68.667267400000000,150.039999999999992,-68.667267494999976,44.896315247000075,150.039999999993597,35.4242058
6,44.896235200000000,-68.667315400000007,177.930000000000007,-68.667315494999968,44.896225947000062,177.929999999993015,35.6844444
7,44.896167200000001,-68.667416399999993,156.099999999999994,-68.667416494999941,44.896157947000063,156.100000000005821,36.0360336
8,44.896208999999999,-68.667276099999995,162.930000000000007,-68.667276194999943,44.896199747000026,162.929999999993015,35.6044464
9,44.896250000000002,-68.667271400000004,163.229999999999990,-68.667271494999966,44.896240747000036,163.229999999995925,35.5644455
10,44.896235300000001,-68.667443700000007,198.129999999999995,-68.667443794999940,44.896226047000027,198.130000000004657,36.0094986
11,44.896203800000002,-68.667554400000000,202.009999999999991,-68.667554494999933,44.896194547000050,202.009999999994761,36.1843948
12,44.896297900000000,-68.667208000000002,172.919999999999987,-68.667208094999978,44.896288647000063,172.919999999998254,35.3147507
13,44.896190900000001,-68.667338799999996,158.379999999999995,-68.667338894999943,44.896181647000049,158.380000000004657,35.8520470
14,44.896262600000000,-68.667156100000000,163.219999999999999,-68.667156194999961,44.896253347000027,163.220000000001164,35.2881508
15,44.896248499999999,-68.667365500000002,177.860000000000014,-68.667365594999978,44.896239247000040,177.860000000000582,35.8294983
16,44.895740900000000,-68.668217200000001,162.639999999999986,-68.668217294999977,44.895731647000048,162.639999999999418,35.4904137
17,44.895894900000002,-68.668003600000006,167.900000000000006,-68.668003694999982,44.895885647000057,167.899999999994179,35.9945145
18,44.895972600000000,-68.667909800000004,164.409999999999997,-68.667909894999980,44.895963347000077,164.410000000003492,35.7765923
19,44.895938100000002,-68.667898800000003,181.830000000000013,-68.667898894999951,44.895928847000050,181.830000000001746,35.7365913
20,44.895797799999997,-68.668173499999995,162.490000000000009,-68.668173594999985,44.895788547000052,162.490000000005239,35.6018524
21,44.895848500000000,-68.668139400000001,170.080000000000013,-68.668139494999934,44.895839247000026,170.080000000001746,35.8146782
22,44.896455099999997,-68.668136300000000,163.939999999999998,-68.668136394999976,44.896445847000052,163.940000000002328,36.6645660
23,44.895611100000004,-68.668153799999999,167.789999999999992,-68.668153894999932,44.895601847000080,167.789999999993597,35.3170280
24,44.895850600000003,-68.668111100000004,177.680000000000007,-68.668111194999938,44.895841347000044,177.679999999993015,35.8346786
25,44.895917300000001,-68.668131799999998,168.710000000000008,-68.668131894999988,44.895908047000034,168.710000000006403,35.9640388
26,44.895922499999998,-68.667435600000005,165.710000000000008,-68.667435694999938,44.895913247000067,165.710000000006403,36.0343742
27,44.895918199999997,-68.666880000000006,165.490000000000009,-68.666880094999954,44.895908947000066,165.490000000005239,35.5228348
28,44.896469099999997,-68.666880699999993,165.939999999999998,-68.666880794999940,44.896459847000074,165.940000000002328,35.5770073
29,44.896322699999999,-68.668381999999994,167.500000000000000,-68.668382093999980,44.896313447000068,167.500000000000000,35.9463310
30,44.895792999999998,-68.666938200000004,163.340000000000003,-68.666938294999966,44.895783747000053,163.339999999996508,35.4861221
31,44.896080900000001,-68.667909499999993,171.689999999999998,-68.667909594999969,44.896071647000042,171.690000000002328,36.0401955
32,44.896432400000002,-68.666995999999997,162.719999999999999,-68.666996094999945,44.896423147000064,162.720000000001164,35.3702774
33,44.895590400000003,-68.667721099999994,167.310000000000002,-68.667721194999956,44.895581147000030,167.309999999997672,35.4282188
34,44.895889799999999,-68.667853800000003,170.419999999999987,-68.667853894999951,44.895880547000047,170.419999999998254,35.6822968
35,44.896071800000001,-68.667309900000006,169.939999999999998,-68.667309994999982,44.896062547000042,169.940000000002328,35.8989906
36,44.896049900000001,-68.667906400000007,162.110000000000014,-68.667906494999954,44.896040647000063,162.110000000000582,35.9580460
37,44.895886900000001,-68.667837000000006,163.580000000000013,-68.667837094999982,44.895877647000077,163.580000000001746,35.6822968
38,44.895769500000000,-68.668195200000000,174.349999999999994,-68.668195294999975,44.895760247000055,174.350000000005821,35.5591621
