"Movebank ID","lon","lat","tagtype","sex","age","height_above_ellipsoid","fix","elev_geoid","terrain_height","alt_hat","time","sunrise","sunset","day_night"
"ME-2020-14",-81.8491516,30.7188606,"4g - Night","m","Hatch Year",90,"3D",119.829493489,3,116.829493489,2020-12-04 05:02:56,2020-12-04 12:11:28,2020-12-04 22:27:08,"Night"
"ME-2020-14",-80.3549347,32.3735924,"4g - Night","m","Hatch Year",183,"3D",216.613958455,0,216.613958455,2020-12-03 05:00:48,2020-12-03 12:08:27,2020-12-03 22:17:24,"Night"
"VA-2020-69",-88.7528076,32.8309631,"6.3g - Frequent","f","After Hatch Year",352,"3D",381.747450619,129,252.747450619,2021-02-24 02:59:12,2021-02-24 12:29:55,2021-02-24 23:49:24,"Night"
"GA-2021-16",-83.7414017,33.4335365,"4g- hybrid","m","After Second Year",307,"3D",336.722576228,206,130.722576228,2021-02-26 05:02:56,2021-02-26 12:08:05,2021-02-26 23:30:30,"Night"
"VA-2020-64",-79.4913406,33.2192879,"6.3g - Frequent","m","Hatch Year",117,"3D",152.215285896,6,146.215285896,2020-12-04 02:59:12,2020-12-04 12:07:47,2020-12-04 22:11:57,"Night"
"VA-2020-64",-79.2536163,33.2209015,"6.3g - Frequent","m","Hatch Year",96,"3D",131.921826346,2,129.921826346,2021-01-24 03:01:20,2021-01-24 12:18:29,2021-01-24 22:42:10,"Night"
"VT-2020-07",-82.252121,33.9552116,"5g - Frequent","m","After Hatch Year",273,"3D",303.65763442,148,155.65763442,2020-12-24 04:58:40,2020-12-24 12:33:17,2020-12-24 22:26:51,"Night"
"AL-2021-12",-85.4842758,34.4088211,"5g- hybrid","f","After Second Year",920,"3D",950.280455254,244,706.280455254,2021-03-01 05:00:48,2021-03-01 12:12:08,2021-03-01 23:39:16,"Night"
"SC-2020-16",-81.7445526,34.2328186,"6.3g - Night","f","Second Year",338,"3D",369.581436983,151,218.581436983,2020-04-05 04:01:04,2020-04-05 11:09:17,2020-04-05 23:51:57,"Night"
"AL-2021-09",-85.5740814,34.649971,"4g- hybrid","m","After Second Year",683,"3D",713.188438871,276,437.188438871,2021-03-01 05:00:48,2021-03-01 12:12:40,2021-03-01 23:39:27,"Night"
