"","ID","time","lon","lat","tagtype","sex","age","height_above_wgs84","fix","point_state"
"1","AL-2020-04","2020-02-04 14:00:32",-87.1527557,32.0798073,"4g - Night","m","After Second Year",65,"3D","Point state: Stationary"
"2","AL-2020-04","2020-02-04 19:58:56",-87.1527023,32.0798073,"4g - Night","m","After Second Year",61,"3D","Point state: Stationary"
"3","AL-2020-04","2020-02-05 05:00:48",-87.1550064,32.0839539,"4g - Night","m","After Second Year",56,"3D","Point state: Stationary"
"4","AL-2020-04","2020-02-07 05:00:48",-87.1547241,32.0838013,"4g - Night","m","After Second Year",53,"3D","Point state: Stationary"
"5","AL-2020-04","2020-02-09 05:00:48",-87.1593094,32.0868225,"4g - Night","m","After Second Year",51,"3D","Point state: Stationary"
"6","AL-2020-04","2020-02-13 05:00:48",-87.1578522,32.0883827,"4g - Night","m","After Second Year",68,"3D","Point state: Stationary"
"7","AL-2020-04","2020-02-15 05:00:48",-87.1595917,32.0862846,"4g - Night","m","After Second Year",54,"3D","Point state: Stationary"
"8","AL-2020-04","2020-02-17 05:00:48",-87.1590042,32.0870781,"4g - Night","m","After Second Year",55,"3D","Point state: Stationary"
"9","AL-2020-04","2020-02-19 05:00:48",-87.1588211,32.08741,"4g - Night","m","After Second Year",62,"3D","Point state: Stationary"
"10","AL-2020-04","2020-02-21 05:00:48",-87.1564178,32.0409203,"4g - Night","m","After Second Year",65,"3D","Point state: Stationary"
"11","AL-2020-04","2020-02-23 05:00:48",-87.1589737,32.0872841,"4g - Night","m","After Second Year",21,"3D","Point state: Stationary"
"12","AL-2020-04","2020-02-25 05:00:48",-87.1588211,32.08741,"4g - Night","m","After Second Year",42,"3D","Point state: Stationary"
"13","AL-2020-04","2020-02-27 05:00:48",-87.1588516,32.08741,"4g - Night","m","After Second Year",53,"3D","Point state: Stationary"
"14","AL-2020-04","2020-02-29 05:00:48",-87.1590805,32.0872307,"4g - Night","m","After Second Year",54,"3D","Point state: Stationary"
"15","AL-2020-04","2020-03-02 05:00:48",-84.4078445,38.3455353,"4g - Night","m","After Second Year",249,"3D","Point state: Migratory (spring)"
"16","AL-2020-04","2020-03-04 05:00:48",-84.4094315,38.3490944,"4g - Night","m","After Second Year",255,"3D","Point state: Migratory (spring)"
"17","AL-2020-04","2020-03-08 04:01:04",-84.9207687,42.9927826,"4g - Night","m","After Second Year",197,"3D","Point state: Stationary"
"18","AL-2020-04","2020-03-10 04:01:04",-84.9204636,42.9919357,"4g - Night","m","After Second Year",198,"3D","Point state: Stationary"
"19","AL-2020-04","2020-03-12 04:01:04",-84.9181061,42.9942398,"4g - Night","m","After Second Year",212,"3D","Point state: Stationary"
"20","AL-2020-04","2020-03-14 04:01:04",-84.9204636,42.9918327,"4g - Night","m","After Second Year",209,"3D","Point state: Stationary"
"21","AL-2020-04","2020-03-15 03:58:56",-84.9204102,42.9918098,"4g - Night","m","After Second Year",143,"3D","Point state: Stationary"
"22","AL-2020-04","2020-03-16 04:01:04",-84.9203568,42.9917831,"4g - Night","m","After Second Year",194,"3D","Point state: Stationary"
"23","AL-2020-04","2020-03-17 03:58:56",-84.9204102,42.9918327,"4g - Night","m","After Second Year",202,"3D","Point state: Stationary"
"24","AL-2020-04","2020-03-18 04:01:04",-84.9207153,42.9920387,"4g - Night","m","After Second Year",34,"3D","Point state: Stationary"
"25","AL-2020-04","2020-03-19 03:58:56",-84.920433,42.991909,"4g - Night","m","After Second Year",206,"3D","Point state: Stationary"
"26","AL-2020-04","2020-03-20 04:01:04",-84.9197159,43.0526085,"4g - Night","m","After Second Year",243,"3D","Point state: Stationary"
"27","AL-2020-04","2020-03-22 04:01:04",-84.9204102,42.9917564,"4g - Night","m","After Second Year",194,"3D","Point state: Stationary"
"28","AL-2020-04","2020-03-23 03:58:56",-84.9204102,42.9918327,"4g - Night","m","After Second Year",195,"3D","Point state: Stationary"
"29","AL-2020-04","2020-03-24 04:01:04",-84.9204636,42.9916801,"4g - Night","m","After Second Year",233,"3D","Point state: Stationary"
"30","AL-2020-04","2020-03-25 04:03:12",-84.920311,42.9924736,"4g - Night","m","After Second Year",34,"2D","Point state: Stationary"
"31","AL-2020-04","2020-03-26 04:01:04",-84.9203873,42.9920387,"4g - Night","m","After Second Year",170,"3D","Point state: Stationary"
"32","AL-2020-04","2020-03-27 03:58:56",-84.920433,42.9918861,"4g - Night","m","After Second Year",197,"3D","Point state: Stationary"
"33","AL-2020-04","2020-03-28 04:01:04",-84.9204102,42.991909,"4g - Night","m","After Second Year",196,"3D","Point state: Stationary"
"34","AL-2020-04","2020-03-29 03:58:56",-84.9205093,42.9920387,"4g - Night","m","After Second Year",184,"3D","Point state: Stationary"
"35","AL-2020-04","2020-03-30 04:01:04",-84.9204102,42.991909,"4g - Night","m","After Second Year",187,"3D","Point state: Stationary"
"36","AL-2020-04","2020-03-31 03:58:56",-84.9205093,42.991909,"4g - Night","m","After Second Year",205,"3D","Point state: Stationary"
"37","AL-2020-04","2020-04-01 04:01:04",-84.9202805,42.9918327,"4g - Night","m","After Second Year",155,"3D","Point state: Stationary"
