ID,time,lon,lat,event_id,tagtype,sex,age,height_above_wgs84,fix,point_state,designated_before,moving,on_land,on_land_designation_RLD,distance_offshore_meters,geometry
GA-2021-21,4/6/2021 4:01,-91.6798859,46.8309364,18395863450,5g- hybrid,f,After Second Year,610,3D,Point state: Migratory (spring),TRUE,TRUE,FALSE,FALSE,10000,c(-91.6798859
ME-2020-14,11/28/2020 4:58,-76.2000275,39.0354805,17015282893,4g - Night,m,Hatch Year,96,3D,Point state: Migratory (fall),TRUE,TRUE,FALSE,FALSE,600,c(-76.2000275
ME-2020-14,12/3/2020 5:00,-80.3549347,32.3735924,17116905067,4g - Night,m,Hatch Year,183,3D,Point state: Migratory (fall),TRUE,TRUE,FALSE,FALSE,7500,c(-80.3549347
NC-2020-18,3/28/2020 4:01,-69.9032669,42.8882828,14243374306,6.3g - Night,f,Second Year,33,2D,Point state: Migratory (spring),FALSE,TRUE,FALSE,FALSE,,c(-69.9032669
NC-2021-21,3/31/2021 4:01,-61.8178673,47.4205055,18311652259,5g- hybrid,f,Second Year,54,3D,Point state: Migratory (spring),TRUE,TRUE,FALSE,FALSE,1000,c(-61.8178673
NS-2022-07,12/5/2022 2:01,-67.1071091,44.2185593,24556316820,4g - hybrid overwater,m,Hatch Year,264,3D,Point state: Migratory (fall),TRUE,TRUE,FALSE,FALSE,,c(-67.1071091
NS-2023-13,11/27/2023 0:00,-66.4138336,43.7043839,30343576453,4g - overwater,m,Hatch year,-18,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,,c(-66.4138336
NS-2023-13,11/27/2023 1:59,-67.7201004,43.6985207,30345319747,4g - overwater,m,Hatch year,-12,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,,c(-67.7201004
NS-2023-14,11/24/2023 0:02,-69.2389984,43.871067,30343576421,4g - overwater,m,Hatch year,63,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,,c(-69.2389984
NS-2023-14,11/24/2023 2:01,-69.9088516,43.4298248,30343576426,4g - overwater,m,Hatch year,-20,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,,c(-69.9088516
NS-2023-14,11/24/2023 4:01,-70.4770966,43.087986,30343576431,4g - overwater,m,Hatch year,102,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,,c(-70.4770966
NS-2023-15,11/21/2023 0:00,-66.248642,43.9894638,30311757185,4g - overwater,m,After hatch year,0,2D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,,c(-66.248642
NS-2023-15,11/21/2023 3:58,-67.8083954,43.1983986,30311757193,4g - overwater,m,After hatch year,177,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,,c(-67.8083954
NS-2024-17,11/14/2024 2:01,-69.0293,43.9835,36338056325,5g - overwater,f,AHY,546,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,,c(-69.0293
NS-2024-21,12/12/2024 4:01,-76.918541,34.6852226,37160396043,4g - overwater,m,AHY,72,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,300,c(-76.918541
NS-2024-26,12/7/2024 1:59,-76.2671738,38.661541,36933939317,4g - overwater,f,HY,-34,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,5000,c(-76.2671738
NS-2024-33,11/16/2024 2:01,-75.9151459,36.8562813,36338056384,4g - overwater,m,AHY,0,2D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,5000,c(-75.9151459
NS-2024-37,11/10/2024 2:01,-67.0027,43.2702,36309742089,4g - overwater,f,AHY,0,2D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,,c(-67.0027
NS-2024-37,11/22/2024 4:01,-75.3339767,38.0095367,36595292308,4g - overwater,f,AHY,45,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,4000,c(-75.3339767
NS-2024-38,11/14/2024 2:01,-68.6997375,43.9314575,36309742105,4g - overwater,f,HY,1429,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,,c(-68.6997375
PA-2021-43,12/20/2021 5:00,-76.008667,38.0649338,21014168855,5g,f,After Hatch Year,34,2D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,1000,c(-76.008667
RI-2019-21,12/27/2019 9:42,-75.3712234,39.1830673,13655340281,4g - Frequent,m,After Hatch Year,NA,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,2500,c(-75.3712234
SC-2020-12,5/3/2020 4:01,-69.738739,48.0717201,14558553392,6.3g - Night,f,Second Year,102,3D,Point state: Migratory (spring),TRUE,TRUE,FALSE,FALSE,600,c(-69.738739
VT-2020-16,10/27/2020 4:03,-75.3165207,39.1875954,16758145470,4g - Night,f,Hatch Year,34,2D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,7500,c(-75.3165207
WV-2024-50,6/5/2024 5:00,-79.1575,43.4863,33519679600,4g - Lazarus,m,Second Year,86,3D,Point state: Migratory (spring),FALSE,TRUE,FALSE,FALSE,20000,c(-79.1575
NS-2024-26,11/15/2024 3:58,-76.2647,39.1308,36338056341,4g - overwater,f,HY,12,3D,Point state: Migratory (fall),FALSE,TRUE,FALSE,FALSE,1000,c(-76.2647
